name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Aachen,1,Valid,L5,21,Fell,1880,50.775000,6.083330,"(50.775, 6.08333)"
Aarhus,2,Valid,H6,720,Fell,1951,56.183330,10.233330,"(56.18333, 10.23333)"
Abee,6,Valid,EH4,107000,Fell,1952,54.216670,-113.000000,"(54.21667, -113.0)"
Acapulco,10,Valid,Acapulcoite,1914,Fell,1976,16.883330,-99.900000,"(16.88333, -99.9)"
Achiras,370,Valid,L6,780,Fell,1902,-33.166670,-64.950000,"(-33.16667, -64.95)"
Adhi Kot,379,Valid,EH4,4239,Fell,1919,32.100000,71.800000,"(32.1, 71.8)"
Adzhi-Bogdo (stone),390,Valid,LL3-6,910,Fell,1949,44.833330,95.166670,"(44.83333, 95.16667)"
Agen,392,Valid,H5,30000,Fell,1814,44.216670,0.616670,"(44.21667, 0.61667)"
Aguada,398,Valid,L6,1620,Fell,1930,-31.600000,-65.233330,"(-31.6, -65.23333)"
Aguila Blanca,417,Valid,L,1440,Fell,1920,-30.866670,-64.550000,"(-30.86667, -64.55)"
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,1974,16.398060,-9.570280,"(16.39806, -9.57028)"
Aïr,424,Valid,L6,24000,Fell,1925,19.083330,8.383330,"(19.08333, 8.38333)"
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,1769,50.666670,2.333330,"(50.66667, 2.33333)"
Akaba,426,Valid,L6,779,Fell,1949,29.516670,35.050000,"(29.51667, 35.05)"
